Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/recommendations/user_92baf0e9732a471cb98caf60542aaa21,47,0,4,6.229580845683813,1.8214000156149268,97.8021000046283,2.0,0.15747763547958563,0.0,4,5,5,6,7,9,98,98,98,98,98
GET,/api/recommendations/user_940a422e2ce94f969b53b28c0bd20146,51,0,4,5.971721567523976,1.7603000160306692,69.17689996771514,2.0,0.17087998743529503,0.0,4,5,6,6,8,18,18,69,69,69,69
GET,/api/recommendations/user_94372474497a4456b93a32fef97cea14,43,0,4,7.760874418065298,1.8288999563083053,104.53930008225143,2.0,0.14407528352387622,0.0,4,5,5,6,12,22,100,100,100,100,100
GET,/api/recommendations/user_94a4586be8b34cb7ad5f292635f13b54,44,0,4,8.382736348060213,1.7671999521553516,81.65219996590167,2.0,0.14742587151280356,0.0,4,5,6,6,11,43,82,82,82,82,82
GET,/api/recommendations/user_94db05f63186498589973af7641318c5,51,0,4,10.067386283338362,1.9358000718057156,158.0670999828726,2.0,0.17087998743529503,0.0,4,6,6,7,16,21,84,160,160,160,160
GET,/api/recommendations/user_9535ef164a1e4aa3a73865225ab0542a,51,0,4,5.67783921153522,2.191700041294098,52.65069997403771,2.0,0.17087998743529503,0.0,4,5,5,6,7,10,20,53,53,53,53
GET,/api/recommendations/user_96b052f59808414d90f4ef6cfc6e02c3,59,0,4,6.985376267378235,2.006600028835237,71.5160999679938,2.0,0.19768469134671388,0.0,4,5,6,8,9,18,69,72,72,72,72
GET,/api/recommendations/user_976507a7f61e423287361280a7c6f12c,46,0,4,6.931134775463168,2.28780007455498,120.45019993092865,2.0,0.15412704749065828,0.0,4,4,4,5,6,16,120,120,120,120,120
GET,/api/recommendations/user_977c279b010a48d78189cb9ba258dff3,51,0,4,5.974790190949159,2.3059999803081155,85.0142000708729,2.0,0.17087998743529503,0.0,4,4,5,5,8,11,19,85,85,85,85
GET,/api/recommendations/user_98a5b969c829491d94e7b7015b06deea,54,0,4,7.344261107155709,1.702000037766993,95.22999997716397,2.0,0.1809317514020771,0.0,4,4,5,5,7,14,87,95,95,95,95
GET,/api/recommendations/user_9a7f24d843ce4528a0c8862e7f75b8f8,43,0,4,4.913751165880713,1.9008000381290913,28.420899994671345,2.0,0.14407528352387622,0.0,4,5,5,5,7,9,28,28,28,28,28
GET,/api/recommendations/user_9acf62745f434c669df2d97a6c468516,56,0,5,7.239633927903404,1.88920006621629,76.51840010657907,2.0,0.1876329273799318,0.0,5,5,6,6,8,18,71,77,77,77,77
GET,/api/recommendations/user_9b9cd14e0211467f903b407acdf42eb3,52,0,4,4.905959618134568,2.024899935349822,20.179999992251396,2.0,0.1742305754242224,0.0,4,5,6,6,8,12,12,20,20,20,20
GET,/api/recommendations/user_9d8a48f80fe646d3a09681c75acd85cb,54,0,4,4.997581484969015,1.7996999667957425,49.41529990173876,2.0,0.1809317514020771,0.0,4,5,5,6,7,7,10,49,49,49,49
